account,kind,url,views,likes,comments,intent_comments,intent_samples,hashtags,caption,topic_match,score
shrikant_tailors_official,post,https://www.instagram.com/p/DUVragrDSX2/,0,-1,4,3,Price | Price | Price???,"shrikanttailors, marathiwedding, punecity, viral, groom",Traditional outfit is not just attire; it’s a culture. It’s a religion itself.”✨  Clothing:- @shrikant_tailors Online Delivery  WhatsApp me : 9325489097   #shrikanttailors #marathiwedding #punecity #viral #groom marathim,True,690
shrikant_tailors_official,reel,https://www.instagram.com/p/DTDSsWXjYMv/,25489,-1,5,2,Price | Price,"wedding, weddingseason, shrikanttailors, engagementdress, receptiondress","New designer Kurta ✨  Clothing :- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  Add :- Shrikant tailors ST Shop No.2 Trimurti Apartment, near Morya Complex, Mohan Nagar, Dhankawadi, Pune Mahara",True,26004
shrikant_tailors_official,reel,https://www.instagram.com/p/DSJ1O6fDSMb/,4599,-1,3,2,Price kay ahe | Price kay aahi,"shrikanttailors, jodhpuri, jodhpurisuits, jodhpuricoat, traditional, weeding, weddingdress, fashionblogger, fashiondesigner, designer",Jodhpuri ✨  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  #shrikanttailors #jodhpuri #jodhpurisuits #jodhpuricoat #traditional #weeding#weddingdress #fashionblogger #fashiondesigner ,True,5064
ts_cloth_house,reel,https://www.instagram.com/p/DR6UviukVDi/,70818,5763,16,1,Price??,"reels, reelsinstagram, trending, foryou, explore, kurta",Men In Kurta ♥️ Thankyou @ts_cloth_house  @tushar2932For making me more handsome   . . . . #reels #reelsinstagram #trending #foryou #explore #kurta,True,129048
ts_cloth_house,post,https://www.instagram.com/p/DR6UviukVDi/,70818,5763,16,1,Price??,"reels, reelsinstagram, trending, foryou, explore, kurta",Men In Kurta ♥️ Thankyou @ts_cloth_house  @tushar2932For making me more handsome   . . . . #reels #reelsinstagram #trending #foryou #explore #kurta,True,129048
shrikant_tailors_official,reel,https://www.instagram.com/p/DQ_MJJpDUCL/,33994,-1,4,1,Price?,"wedding, weddingseason, shrikanttailors, engagementdress, receptiondress, weddingindoor, kurtapajama, navabi, indowester, traditional","Designer Kurta✨  Clothing :- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  Add :- Shrikant tailors ST Shop No.2 Trimurti Apartment, near Morya Complex, Mohan Nagar, Dhankawadi, Pune Maharashtra",True,34284
shrikant_tailors_official,reel,https://www.instagram.com/p/DQRekOuk7oB/,28268,-1,3,1,Price and location,"shrikanttailors, weedingdress, weddingphotography, photoshoot, dressoftheday, unique, patterndesign, fashionmodel, fashionblogger, fashiondesigner",Happy customer ✨  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  #shrikanttailors #weedingdress #weddingphotography #photoshoot #dressoftheday #unique #patterndesign #fashionmodel #fa,True,28533
shrikant_tailors_official,reel,https://www.instagram.com/p/DSujvSqDTU6/,27940,-1,2,1,Price sir,"shrikanttailors, unique, jackets, kurtapajama, ethnicwear",Customised jacket ✨  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 9325489097  #shrikanttailors #unique #jackets #kurtapajama #ethnicwear ethnicfashion ethnicwearonline ethniccollection fashionde,True,28180
shrikant_tailors_official,reel,https://www.instagram.com/p/DQlkRsvDX6u/,23305,-1,9,1,Price,"wedding, weddingseason, shrikanttailors, engagementdress, receptiondress, weddingindoor, kurtapajama, navabi, indowester, traditional","Designer kurta✨  Clothing :- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  Add :- Shrikant tailors ST Shop No.2 Trimurti Apartment, near Morya Complex, Mohan Nagar, Dhankawadi, Pune Maharashtra",True,23720
shrikant_tailors_official,reel,https://www.instagram.com/p/DQb6G3Xjcds/,17178,-1,2,1,Price,"wedding, weddingseason, shrikanttailors, engagementdress, receptiondress, weddingindoor, kurtapajama, navabi, indowester, traditional","Designer Kurta ✨  Clothing :- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  Add :- Shrikant tailors ST Shop No.2 Trimurti Apartment, near Morya Complex, Mohan Nagar, Dhankawadi, Pune Maharashtr",True,17418
shrikant_tailors_official,reel,https://www.instagram.com/p/DRRPEnhDd_V/,14388,-1,1,1,Price,"shrikanttailors, unique, jackets, kurtapajama, ethnicwear, ethnicfashion, ethnicwearonline, ethniccollection, fashiondesigner, fashionweek",Customise jacket✨  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 7387303022  #shrikanttailors #unique #jackets #kurtapajama #ethnicwear #ethnicfashion #ethnicwearonline #ethniccollection #fashion,True,14603
shrikant_tailors_official,post,https://www.instagram.com/p/DUIk_byCD2h/,0,1247,29,1,Price,"ak, outfits, wedding, instafit, pune",जो दलदल पार करके आया हो. उसे सड़क पार करने का ज्ञान नहीं दिया जाता मित्र..😉🙌🏻 . . . . . . . . . #ak #outfits #wedding #instafit #pune,True,13395
hightone.nx,reel,https://www.instagram.com/p/DG8HQGqzXgl/,7434,240,1,1,Price,"hightonenx, GroomGoals, LuxurySherwani, HandcraftedElegance, RegalAttire, BespokeMenswear, WeddingFashion, IndianGroom, SherwaniStyle, madeforroyalty","Elegance woven in every thread.✨ Do visit @hightone.nx for handcrafted luxury. 💫  A groom's sherwani isn't just an outfit-it's a statement of grandeur. 👑  At Hightone NX, we bring you premium, handcrafted sherwanis with ",True,10059
shrikant_tailors_official,reel,https://www.instagram.com/p/DRgpL9jjfn9/,8103,-1,2,1,Price please...,"ethnicwear, indianwear, fashion, onlineshopping, i̇ndianfashion, ethnic, indianwedding, traditional, instafashion, traditionalwear",Customised dress✨  Clothing:- @shrikant_tailors_official   #ethnicwear #indianwear #fashion #onlineshopping #i̇ndianfashion #ethnic #indianwedding #traditional #instafashion #traditionalwear #style #india #wedding #trend,True,8343
shrikant_tailors_official,reel,https://www.instagram.com/p/DS9UKHgCOje/,3530,-1,1,1,Bhaiya price kiya hai,"shrikanttailors, weedingdress, weddingphotography, photoshoot, dressoftheday",navabi ✨  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  #shrikanttailors #weedingdress #weddingphotography #photoshoot #dressoftheday unique patterndesign fashionmodel fashionblogger,True,3745
shrikant_tailors_official,reel,https://www.instagram.com/p/DRoXICDiDMx/,3393,-1,1,1,Kitna price hai bhai lena hai please batado😮😮,"shrikanttailors, weedingdress, weddingphotography, photoshoot, dressoftheday, unique, patterndesign, fashionmodel, fashionblogger, fashiondesigner",Designer pattern ✨  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 7387303022  #shrikanttailors #weedingdress #weddingphotography #photoshoot #dressoftheday #unique #patterndesign #fashionmodel #f,True,3608
shrikant_tailors_official,reel,https://www.instagram.com/p/DR7E9uojXsG/,2987,-1,1,1,Price,"shrikanttailors, weedingdress, weddingphotography, photoshoot, dressoftheday, unique, patterndesign, fashionmodel, fashionblogger, fashiondesigner",Customise Work✨  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  #shrikanttailors #weedingdress #weddingphotography #photoshoot #dressoftheday #unique #patterndesign #fashionmodel #fas,True,3202
ts_cloth_house,reel,https://www.instagram.com/p/DRATuW5DCtM/,1341,74,1,1,Price,"tsclothhouse, wedding, groom, sherwani, explore","Designer Shravani 🤍  Follow @ts_cloth_house   Use #tsclothhouse    Contact Numbers : +91 8329681827  Our You can Visit our Store at 📍  Shop No. 1 & 2, Sai Anand Pride Apartment, Taran Talav Road, near Siddheshwar Paan Sh",True,2306
ganapti_collection_for_mens,post,https://www.instagram.com/p/C2zxEa7oSrB/,0,95,1,1,Price,"indowestern, stitch, viralreels, pune, ganpaticollectionformens, trendingreels, hadapsar_pune, ethnicwear, blezar, jodhpuri",Happy customer 🔥#indowestern #stitch #viralreels #pune #ganpaticollectionformens #trendingreels #hadapsar_pune #ethnicwear #blezar #jodhpuri #handwork #bestcollection #groom@jaiswal5511,True,1175
ganapti_collection_for_mens,post,https://www.instagram.com/p/C2pUtclIjos/,0,32,2,1,Price,"ganpaticollection, men, women, bride, groom, wear, insta, instagram, wedding, hadapsar",#ganpaticollection #men #women #bride #groom #wear #insta #instagram  #wedding #hadapsar #pune #india,True,570
